Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/test/java/org/openrewrite/codemods/ApplyCodemodReactMUITest.java,org.openrewrite.codemods.ApplyCodemodReactMUITest,autocompleteRenameCloseicon,"org.openrewrite.codemods.ApplyCodemodReactMUITest{name=autocompleteRenameCloseicon,return=void,parameters=[]}",1,0,0,24,0,11.0,0,11,0,173.4,6.95,0.04
src/test/java/org/openrewrite/codemods/ApplyCodemodTest.java,org.openrewrite.codemods.ApplyCodemodTest,formatStatement,"org.openrewrite.codemods.ApplyCodemodTest{name=formatStatement,return=void,parameters=[]}",1,0,0,18,0,8.0,0,8,0,143.96,5.91,0.03
src/test/java/org/openrewrite/codemods/BiomeTest.java,org.openrewrite.codemods.BiomeTest,defaults,"org.openrewrite.codemods.BiomeTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",1,0,0,5,1,5.0,0,5,0,48.11,2.5,0.01
src/test/java/org/openrewrite/codemods/BiomeTest.java,org.openrewrite.codemods.BiomeTest,noRules,"org.openrewrite.codemods.BiomeTest{name=noRules,return=void,parameters=[]}",1,0,0,17,0,3.0,0,3,0,41.51,2.29,0.01
src/test/java/org/openrewrite/codemods/BiomeTest.java,org.openrewrite.codemods.BiomeTest,removeEmptyExport,"org.openrewrite.codemods.BiomeTest{name=removeEmptyExport,return=void,parameters=[]}",1,0,0,17,0,3.0,0,3,0,41.51,2.29,0.01
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,formatStatement,"org.openrewrite.codemods.ESLintTest{name=formatStatement,return=void,parameters=[]}",1,0,0,22,0,10.0,0,10,0,217.98,8.8,0.05
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,multiple,"org.openrewrite.codemods.ESLintTest{name=multiple,return=void,parameters=[]}",1,0,0,51,0,48.0,0,48,0,911.81,28.54,0.29
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,configFile,"org.openrewrite.codemods.ESLintTest{name=configFile,return=void,parameters=[]}",1,0,0,34,0,10.0,0,10,0,220.0,8.38,0.05
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,unicorn,"org.openrewrite.codemods.ESLintTest{name=unicorn,return=void,parameters=[]}",1,0,0,30,0,10.0,0,10,0,221.95,8.0,0.05
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,reactJsx,"org.openrewrite.codemods.ESLintTest{name=reactJsx,return=void,parameters=[]}",1,0,0,30,0,9.0,0,9,0,199.18,7.89,0.05
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,reactTsx,"org.openrewrite.codemods.ESLintTest{name=reactTsx,return=void,parameters=[]}",1,0,0,30,0,15.0,0,15,0,267.35,9.0,0.06
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,vue,"org.openrewrite.codemods.ESLintTest{name=vue,return=void,parameters=[]}",1,0,0,47,0,15.0,0,15,0,267.35,9.0,0.06
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,svelte,"org.openrewrite.codemods.ESLintTest{name=svelte,return=void,parameters=[]}",1,0,0,43,0,15.0,0,15,0,267.35,9.0,0.06
