ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category4,category1Description,category2Description,category3Description,category4Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.ApplyCodemod,Applies a codemod to all source files,Applies a codemod represented by an NPM package to all source files.,1,,,,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,"[{""name"":""transform"",""type"":""String"",""displayName"":""Codemod transform"",""description"":""Transform to be applied using the executable."",""example"":""-t path/to/transform/optimus-prime"",""required"":true},{""name"":""executable"",""type"":""String"",""displayName"":""Codemod executable"",""description"":""Path to the codemod executable relative to the NPM directory. Defaults to `jscodeshift/bin/jscodeshift.js`."",""example"":""@next/codemod/bin/next-codemod.js""},{""name"":""fileFilter"",""type"":""String"",""displayName"":""File filter"",""description"":""Optional glob pattern to filter files to apply the codemod to. Defaults to all files. Note: not all codemods support file glob filtering."",""example"":""**/*.(j|t)sx"",""required"":true},{""name"":""codemodArgs"",""type"":""List"",""displayName"":""Codemod command arguments"",""description"":""Arguments which get passed to the codemod command."",""example"":""--force --jscodeshift='--parser=${parser}'""}]",
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.Biome,Biome recommendations,Run [Biome](https://biomejs.dev/) recommended settings on your projects.,1,,,,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.ESLint,Lint source code with ESLint,"Run [ESLint](https://eslint.org/) across the code to fix common static analysis issues in the code.

This requires the code to have an existing ESLint configuration.",1,,,,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,"[{""name"":""patterns"",""type"":""List"",""displayName"":""The lint target files"",""description"":""The lint target files. This can contain any of file paths, directory paths, and glob patterns."",""example"":""lib/**/*.js""},{""name"":""parser"",""type"":""String"",""displayName"":""Parser to be used by ESLint"",""description"":""Parser used by ESLint to parse the source files. Defaults to `@typescript-eslint/parser`. See [ESLint documentation](https://eslint.org/docs/latest/use/configure/parsers) for more details."",""example"":""esprima""},{""name"":""parserOptions"",""type"":""List"",""displayName"":""List of parser options for ESLint"",""description"":""A list of parser options for ESLint. The format is `key: value`. Defaults to `ecmaVersion: \""latest\"", ecmaFeatures: { jsx: true }, sourceType: \""module\""`. See [ESLint documentation](https://eslint.org/docs/latest/use/configure/language-options#specifying-parser-options) for more details."",""example"":""ecmaVersion: 6, ecmaFeatures: { jsx: true }""},{""name"":""allowInlineConfig"",""type"":""Boolean"",""displayName"":""Allow inline configuration for ESLint"",""description"":""Whether inline config comments are allowed. Defaults to `false`. See [ESLint documentation](https://eslint.org/docs/latest/use/configure/rules#disabling-inline-comments) for more details."",""example"":""true""},{""name"":""envs"",""type"":""List"",""displayName"":""List of `env` mappings for ESLint"",""description"":""A list of `env` mappings for ESLint. The format is `key: value`."",""example"":""browser: true""},{""name"":""globals"",""type"":""List"",""displayName"":""ESLint global variables"",""description"":""Define global variables for rules that require knowledge of these."",""example"":""var1, var2: writable""},{""name"":""plugins"",""type"":""List"",""displayName"":""ESLint plugins"",""description"":""A list of plugins for ESLint."",""example"":""@typescript-eslint, prettier""},{""name"":""extend"",""type"":""List"",""displayName"":""ESLint extends"",""description"":""A list of extends for ESLint."",""example"":""eslint:recommended, prettier""},{""name"":""rules"",""type"":""List"",""displayName"":""ESLint rules and rule configuration"",""description"":""List of rules to be checked by ESLint. Optionally, the severity and other rule options can also be specified as e.g. `off`, `warn` or `[\""error\"", \""always\""]`. The severity `off` is useful when the rule is declared by an extended [shareable config](https://eslint.org/docs/latest/extend/ways-to-extend#shareable-configs). For more information, see the [ESLint documentation](https://eslint.org/docs/latest/use/configure/rules)"",""example"":""eqeqeq: warn, multiline-comment-style: [\""error\"", \""starred-block\""], prettier/prettier""},{""name"":""fix"",""type"":""Boolean"",""displayName"":""Autofix"",""description"":""Automatically fix violations when possible. Defaults to `true`."",""example"":""false""},{""name"":""configFile"",""type"":""String"",""displayName"":""Override config file"",""description"":""Allows specifying the full ESLint configuration file contents as multiline JSON. See [ESLint documentation](https://eslint.org/docs/latest/use/configure/configuration-files) for more details.\n\nNote that this will override any other configuration options."",""example"":""{}""}]","[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.Putout,Run Putout,Run [Putout](https://github.com/coderaiser/putout) on your projects.,1,,,,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,"[{""name"":""rules"",""type"":""Set"",""displayName"":""Rules"",""description"":""Names of rules to enable. If not provided, putout's default rules are used."",""example"":""remove-unused-variables""},{""name"":""printer"",""type"":""String"",""displayName"":""Printer"",""description"":""By default Putout uses its own [putout](https://github.com/coderaiser/putout?tab=readme-ov-file#printer) printer for formatting code. You can choose an alternative printer."",""valid"":[""putout"",""recast"",""babel""]}]",
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.ReactI18Next,React i18next internationalization,"Automatically internationalizes React applications by extracting hardcoded strings and replacing them with [react-i18next](https://react.i18next.com) translation calls. Handles JSX text, attributes, and template literals with variables. Creates and updates a translation JSON file with extracted strings.",1,,,,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,"[{""name"":""translationFilePath"",""type"":""String"",""displayName"":""Translation file path"",""description"":""Path to the translation JSON file where extracted strings will be stored. Defaults to `translations.json` in the root of the project."",""example"":""./src/locales/en.json""},{""name"":""importName"",""type"":""String"",""displayName"":""Import name"",""description"":""The package name to import translation functions from. Required."",""example"":""react-i18next"",""required"":true},{""name"":""translationRoot"",""type"":""String"",""displayName"":""Translation root key"",""description"":""Root key in the translation file to organize translations under. Defaults to `common`."",""example"":""common""},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""Glob pattern to specify which files to transform. Defaults to all files."",""example"":""src/**/*.tsx""},{""name"":""parser"",""type"":""String"",""displayName"":""Parser"",""description"":""Parser to use for transforming files. Defaults to auto-detection based on file extensions (`tsx`/`ts`/`babel`)."",""example"":""tsx""}]",
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.UI5,Lint UI5 projects with UI5 linter,"Runs the [UI5 Linter](https://github.com/SAP/ui5-linter), a static code analysis tool for UI5 projects. It checks JavaScript, TypeScript, XML, JSON, and other files in your project and reports findings.",1,,,,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.UI5Messages"",""displayName"":""UI5 messages"",""description"":""Errors and warnings as reported by UI5."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""File Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""UI5 rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.ArrowBodyStyle,Require braces around arrow function bodies,"Require braces around arrow function bodies
See [rule details](https://eslint.org/docs/latest/rules/arrow-body-style)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.CapitalizedComments,Enforce or disallow capitalization of the first letter of a comment,"Enforce or disallow capitalization of the first letter of a comment 
See [rule details](https://eslint.org/docs/latest/rules/capitalized-comments)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.Curly,Enforce consistent brace style for all control statements,"Enforce consistent brace style for all control statements 
See [rule details](https://eslint.org/docs/latest/rules/curly)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.DotNotation,Enforce dot notation whenever possible,"Enforce dot notation whenever possible 
See [rule details](https://eslint.org/docs/latest/rules/dot-notation)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
